date,close,ma200,dev,z_score,prob,symbol,ext
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308214,0.924637451202857,GDX,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308185,0.9246374512028566,GDX,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308214,0.924637451202857,GDX,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308185,0.9246374512028566,GDX,TOP
2019-09-04,115.91,101.9781499999999,0.12805545325011536,1.285685833284961,0.9007236363222889,WMT,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308214,0.924637451202857,GDX,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308185,0.9246374512028566,GDX,TOP
2019-09-04,1800.62,1761.3301500000039,0.022061759391777864,-1.053300716024455,0.1461015954309921,AMZN,BOTTOM
2019-09-04,115.91,101.9781499999999,0.12805545325011536,1.2856858332849477,0.9007236363222866,WMT,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308214,0.924637451202857,GDX,TOP
2019-09-04,137.89,124.70774999999976,0.1004832659408606,-1.4349932070669174,0.07564451666322584,DIS,BOTTOM
2019-09-04,209.19,185.8614500000002,0.11824142623119195,1.1546823817465006,0.8758897415556064,AAPL,TOP
2019-09-04,1800.62,1761.3301500000039,0.022061759391777864,-1.053300716024414,0.14610159543100149,AMZN,BOTTOM
2019-09-04,115.91,101.9781499999999,0.12805545325011536,1.285685833284961,0.9007236363222889,WMT,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308185,0.9246374512028566,GDX,TOP
2019-09-04,137.89,124.70774999999976,0.1004832659408606,-1.434993207066936,0.07564451666322314,DIS,BOTTOM
2019-09-04,209.19,185.8614500000002,0.11824142623119195,1.154682381746513,0.8758897415556088,AAPL,TOP
2019-09-04,1800.62,1761.3301500000039,0.022061759391777864,-1.053300716024444,0.14610159543099466,AMZN,BOTTOM
2019-09-04,115.91,101.9781499999999,0.12805545325011536,1.2856858332849477,0.9007236363222866,WMT,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308214,0.924637451202857,GDX,TOP
2019-09-04,137.89,124.70774999999976,0.1004832659408606,-1.434993207066914,0.07564451666322629,DIS,BOTTOM
2019-09-04,209.19,185.8614500000002,0.11824142623119195,1.1546823817465006,0.8758897415556064,AAPL,TOP
2019-09-04,1800.62,1761.3301500000039,0.022061759391777864,-1.053300716024414,0.14610159543100149,AMZN,BOTTOM
2019-09-04,115.91,101.9781499999999,0.12805545325011536,1.285685833284961,0.9007236363222889,WMT,TOP
2019-09-04,30.95,23.07169999999998,0.2937662408865293,1.4369749988308185,0.9246374512028566,GDX,TOP
2019-09-04,137.89,124.70774999999976,0.1004832659408606,-1.4349932070669342,0.07564451666322342,DIS,BOTTOM
2019-09-04,209.19,185.8614500000002,0.11824142623119195,1.154682381746513,0.8758897415556088,AAPL,TOP
2019-09-04,1800.62,1761.3301500000039,0.022061759391777864,-1.053300716024444,0.14610159543099466,AMZN,BOTTOM
2019-09-04,115.91,101.9781499999999,0.12805545325011536,1.2856858332849477,0.9007236363222866,WMT,TOP
