date,close,ma200,dev,z_score,prob
2003-04-14,101.0,,,,
2003-04-15,102.2,,,,
2003-04-16,103.38,,,,
2003-04-17,104.12,,,,
2003-04-21,104.08,,,,
2003-04-22,104.43,,,,
2003-04-23,104.92,,,,
2003-04-24,102.85,,,,
2003-04-25,101.15,,,,
2003-04-28,102.82,,,,
2003-04-29,105.75,,,,
2003-04-30,105.45,,,,
2003-05-01,105.04,,,,
2003-05-02,106.65,,,,
2003-05-05,107.8,,,,
2003-05-06,108.35,,,,
2003-05-07,108.15,,,,
2003-05-08,107.2,,,,
2003-05-09,108.46,,,,
2003-05-12,109.97,,,,
2003-05-13,109.35,,,,
2003-05-14,108.8,,,,
2003-05-15,109.02,,,,
2003-05-16,109.1,,,,
2003-05-19,106.5,,,,
2003-05-20,107.03,,,,
2003-05-21,107.12,,,,
2003-05-22,108.09,,,,
2003-05-23,109.2,,,,
2003-05-27,113.11,,,,
2003-05-28,113.6,,,,
2003-05-29,113.75,,,,
2003-05-30,115.07,,,,
2003-06-02,115.9,,,,
2003-06-03,115.02,,,,
2003-06-04,116.5,,,,
2003-06-05,116.62,,,,
2003-06-06,117.71,,,,
2003-06-09,116.7,,,,
2003-06-10,117.9,,,,
2003-06-11,118.0,,,,
2003-06-12,118.89,,,,
2003-06-13,118.85,,,,
2003-06-16,120.13,,,,
2003-06-17,122.6,,,,
2003-06-18,122.15,,,,
2003-06-19,122.15,,,,
2003-06-20,122.15,,,,
2003-06-23,119.15,,,,
2003-06-24,118.27,,,,
2003-06-25,119.25,,,,
2003-06-26,120.54,,,,
2003-06-27,119.98,,,,
2003-06-30,119.9,,,,
2003-07-01,121.2,,,,
2003-07-02,124.05,,,,
2003-07-03,124.4,,,,
2003-07-07,127.48,,,,
2003-07-08,127.84,,,,
2003-07-09,127.54,,,,
2003-07-10,125.3,,,,
2003-07-11,126.35,,,,
2003-07-14,128.57,,,,
2003-07-15,126.95,,,,
2003-07-16,127.05,,,,
2003-07-17,123.73,,,,
2003-07-18,125.38,,,,
2003-07-21,123.72,,,,
